scientificName,decimalLatitude,decimalLongitude,coordinateUncertaintyInMeters,year,month,day,depth,depthAccuracy,basisOfRecord,issue,source
Steindachneria argentea,29.0931,-88.496417,NA,2004,7,30,NA,NA,PRESERVED_SPECIMEN,COORDINATE_ROUNDED;GEODETIC_DATUM_ASSUMED_WGS84;CONTINENT_INVALID,GBIF
Steindachneria argentea,29.0931,-88.496417,NA,2004,7,30,NA,NA,PRESERVED_SPECIMEN,COORDINATE_ROUNDED;GEODETIC_DATUM_ASSUMED_WGS84;CONTINENT_INVALID,GBIF
Steindachneria argentea,29.654196,-88.004608,50000,1981,11,19,NA,NA,PRESERVED_SPECIMEN,,GBIF
Steindachneria argentea,28.86667,-89.35,1543,1974,6,4,NA,NA,PRESERVED_SPECIMEN,,GBIF
Steindachneria argentea,28.81667,-89.73333,1543,1975,7,16,NA,NA,PRESERVED_SPECIMEN,,GBIF
Steindachneria argentea,28.573,-89.384,NA,1985,4,7,NA,NA,PRESERVED_SPECIMEN,GEODETIC_DATUM_ASSUMED_WGS84;CONTINENT_INVALID,GBIF
Steindachneria argentea,27.527,-93.218,NA,1972,10,9,NA,NA,PRESERVED_SPECIMEN,GEODETIC_DATUM_ASSUMED_WGS84;CONTINENT_INVALID,GBIF
Steindachneria argentea,11.483333,-73.633333,NA,1979,10,27,NA,NA,PRESERVED_SPECIMEN,COORDINATE_ROUNDED;GEODETIC_DATUM_ASSUMED_WGS84,GBIF
Steindachneria argentea,29.033333,-88.575,NA,1950,9,23,357,0,PRESERVED_SPECIMEN,COORDINATE_ROUNDED;GEODETIC_DATUM_ASSUMED_WGS84,GBIF
Steindachneria argentea,29.15,-88.183333,NA,1961,10,8,411,0,PRESERVED_SPECIMEN,COORDINATE_ROUNDED;GEODETIC_DATUM_ASSUMED_WGS84,GBIF
Steindachneria argentea,9.3,-80.433333,NA,1962,5,29,82,0,PRESERVED_SPECIMEN,COORDINATE_ROUNDED;GEODETIC_DATUM_ASSUMED_WGS84,GBIF
Steindachneria argentea,9.683333,-59.783333,NA,1957,11,3,274,0,PRESERVED_SPECIMEN,COORDINATE_ROUNDED;GEODETIC_DATUM_ASSUMED_WGS84,GBIF
Steindachneria argentea,12.516667,-82.35,NA,1962,5,23,366,0,PRESERVED_SPECIMEN,COORDINATE_ROUNDED;GEODETIC_DATUM_ASSUMED_WGS84,GBIF
Steindachneria argentea,12.583333,-82.316667,NA,1962,5,23,457,0,PRESERVED_SPECIMEN,COORDINATE_ROUNDED;GEODETIC_DATUM_ASSUMED_WGS84,GBIF
Steindachneria argentea,28.833333,-89.55,NA,1951,5,7,79,0,PRESERVED_SPECIMEN,COORDINATE_ROUNDED;GEODETIC_DATUM_ASSUMED_WGS84,GBIF
Steindachneria argentea,29.118056,-88.834722,NA,1950,9,12,84,0,PRESERVED_SPECIMEN,COORDINATE_ROUNDED;GEODETIC_DATUM_ASSUMED_WGS84,GBIF
Steindachneria argentea,12.383333,-82.483333,NA,1962,6,2,366,0,PRESERVED_SPECIMEN,COORDINATE_ROUNDED;GEODETIC_DATUM_ASSUMED_WGS84,GBIF
Steindachneria argentea,27.823333,-85.115,NA,1989,2,14,NA,NA,PRESERVED_SPECIMEN,COORDINATE_ROUNDED;COUNTRY_DERIVED_FROM_COORDINATES,GBIF
Steindachneria argentea,29.183333,-88.033333,NA,1956,6,22,NA,NA,PRESERVED_SPECIMEN,COORDINATE_ROUNDED;COUNTRY_DERIVED_FROM_COORDINATES,GBIF
Steindachneria argentea,29.183889,-88.262222,NA,1989,2,19,NA,NA,PRESERVED_SPECIMEN,COORDINATE_ROUNDED;COUNTRY_DERIVED_FROM_COORDINATES,GBIF
Steindachneria argentea,29.086667,-88.866667,NA,1986,7,15,86.5,4.5,PRESERVED_SPECIMEN,COORDINATE_ROUNDED,GBIF
Steindachneria argentea,29.075266,-95.062912,46500,1962,NA,NA,NA,NA,PRESERVED_SPECIMEN,,GBIF
Steindachneria argentea,29.23333,-88.03333,NA,1984,11,12,NA,NA,PRESERVED_SPECIMEN,,GBIF
Steindachneria argentea,29.16667,-88.11667,NA,1984,11,12,NA,NA,PRESERVED_SPECIMEN,,GBIF
Steindachneria argentea,29.16667,-88.28333,NA,1984,11,12,NA,NA,PRESERVED_SPECIMEN,,GBIF
Steindachneria argentea,28.58333,-89.5,NA,1984,3,19,NA,NA,PRESERVED_SPECIMEN,,GBIF
Steindachneria argentea,29.25,-88.01667,NA,1984,4,11,NA,NA,PRESERVED_SPECIMEN,,GBIF
Steindachneria argentea,29.2,-87.88333,NA,1984,11,13,NA,NA,PRESERVED_SPECIMEN,,GBIF
Steindachneria argentea,28.7,-90.16667,NA,1984,10,27,NA,NA,PRESERVED_SPECIMEN,,GBIF
Steindachneria argentea,29.13333,-88.26667,NA,1984,4,10,NA,NA,PRESERVED_SPECIMEN,,GBIF
Steindachneria argentea,27.88333,-94.03333,NA,1981,1,24,NA,NA,PRESERVED_SPECIMEN,MODIFIED_DATE_UNLIKELY,GBIF
Steindachneria argentea,27.816667,-85.2,NA,1970,8,27,NA,NA,PRESERVED_SPECIMEN,COORDINATE_ROUNDED,GBIF
Steindachneria argentea,27.016667,-84.866667,NA,1970,8,21,NA,NA,PRESERVED_SPECIMEN,COORDINATE_ROUNDED,GBIF
Steindachneria argentea,29.583333,-91.85,NA,1968,2,3,NA,NA,PRESERVED_SPECIMEN,COORDINATE_ROUNDED;PRESUMED_NEGATED_LONGITUDE,GBIF
Steindachneria argentea,29.583333,-91.85,NA,1967,8,29,NA,NA,PRESERVED_SPECIMEN,COORDINATE_ROUNDED;PRESUMED_NEGATED_LONGITUDE,GBIF
Steindachneria argentea,29.216667,-87.951389,NA,1962,8,22,NA,NA,PRESERVED_SPECIMEN,COORDINATE_ROUNDED,GBIF
Steindachneria argentea,29.283333,-87.683333,NA,1962,8,27,NA,NA,PRESERVED_SPECIMEN,COORDINATE_ROUNDED,GBIF
Steindachneria argentea,29.216667,-87.916667,NA,1962,8,8,NA,NA,PRESERVED_SPECIMEN,COORDINATE_ROUNDED,GBIF
Steindachneria argentea,28.6,-89.8,NA,1961,8,20,NA,NA,PRESERVED_SPECIMEN,,GBIF
Steindachneria argentea,28.258333,-89.841667,NA,1961,8,21,NA,NA,PRESERVED_SPECIMEN,COORDINATE_ROUNDED,GBIF
Steindachneria argentea,29.22245,-87.872283,NA,2004,8,2,NA,NA,PRESERVED_SPECIMEN,COORDINATE_ROUNDED;GEODETIC_DATUM_ASSUMED_WGS84;CONTINENT_INVALID,GBIF
Steindachneria argentea,29.32145,-87.774883,NA,2003,6,15,NA,NA,PRESERVED_SPECIMEN,COORDINATE_ROUNDED;GEODETIC_DATUM_ASSUMED_WGS84;CONTINENT_INVALID,GBIF
Steindachneria argentea,29.249317,-88.337517,NA,2003,6,12,NA,NA,PRESERVED_SPECIMEN,COORDINATE_ROUNDED;GEODETIC_DATUM_ASSUMED_WGS84;CONTINENT_INVALID,GBIF
Steindachneria argentea,29.231,-88.337667,NA,2000,3,7,NA,NA,PRESERVED_SPECIMEN,COORDINATE_ROUNDED;GEODETIC_DATUM_ASSUMED_WGS84;CONTINENT_INVALID,GBIF
Steindachneria argentea,29.516667,-87.383333,NA,1975,10,19,NA,NA,PRESERVED_SPECIMEN,COORDINATE_ROUNDED;GEODETIC_DATUM_ASSUMED_WGS84;COUNTRY_DERIVED_FROM_COORDINATES;OCCURRENCE_STATUS_INFERRED_FROM_INDIVIDUAL_COUNT,GBIF
Steindachneria argentea,29.2,-88.016667,NA,1962,7,25,NA,NA,PRESERVED_SPECIMEN,COORDINATE_ROUNDED;GEODETIC_DATUM_ASSUMED_WGS84;COUNTRY_DERIVED_FROM_COORDINATES;OCCURRENCE_STATUS_INFERRED_FROM_INDIVIDUAL_COUNT,GBIF
Steindachneria argentea,7.566667,-54.216667,NA,1963,3,24,NA,NA,PRESERVED_SPECIMEN,COORDINATE_ROUNDED;GEODETIC_DATUM_ASSUMED_WGS84;OCCURRENCE_STATUS_INFERRED_FROM_INDIVIDUAL_COUNT,GBIF
Steindachneria argentea,38.3741,-70.930652,122696,2006,1,1,183,0,PRESERVED_SPECIMEN,TYPE_STATUS_INVALID;OCCURRENCE_STATUS_INFERRED_FROM_INDIVIDUAL_COUNT,GBIF
Steindachneria argentea,10.801389,-65.265278,NA,1997,12,15,NA,NA,PRESERVED_SPECIMEN,COORDINATE_ROUNDED;GEODETIC_DATUM_INVALID;GEODETIC_DATUM_ASSUMED_WGS84;COORDINATE_UNCERTAINTY_METERS_INVALID;OCCURRENCE_STATUS_INFERRED_FROM_INDIVIDUAL_COUNT,GBIF
